ID,Label,Name,Category,Type,Text,Front Image,Back Image,Use Count
Assets_Location,Location,Location,Assets,,,\Textures\Challenges\c_accidents.png,\Textures\Backs\back_c_big.png,2
Assets_Retail,Retail,Retail,Assets,,,\Textures\Challenges\c_accidents.png,\Textures\Backs\back_c_big.png,0
Assets_Outreach_Activity,Outreach_Activity,Outreach_Activity,Assets,,,\Textures\Challenges\c_battery_life.png,\Textures\Backs\back_c_big.png,2
Assets_Learning_Activity,Learning_Activity,Learning_Activity,Assets,,,\Textures\Challenges\c_battery_life.png,\Textures\Backs\back_c_big.png,3
Assets_Guides,Guides,Guides,Assets,,,\Textures\Challenges\c_bland_locations.png,\Textures\Backs\back_c_big.png,1
Assets_Fame,Fame,Fame,Assets,,,\Textures\Challenges\c_bland_locations.png,\Textures\Backs\back_c_big.png,0
Assets_Exhibits,Exhibits,Exhibits,Assets,,,\Textures\Challenges\c_confusing_interface.png,\Textures\Backs\back_c_big.png,1
Assets_Digital_Resource,Digital_Resource,Digital_Resource,Assets,,,\Textures\Challenges\c_confusing_interface.png,\Textures\Backs\back_c_big.png,4
Assets_Blank,Blank,Blank,Assets,,,\Textures\Challenges\c_critical_mass.png,\Textures\Backs\back_c_big.png,0
Assets_Back,Back,Back,Assets,,,\Textures\Challenges\c_critical_mass.png,\Textures\Backs\back_c_big.png,0
Audiences_Back,Back,Back,Audiences,,,\Textures\Challenges\c_disruption.png,\Textures\Backs\back_c_big.png,0
Audiences_Blank,Blank,Blank,Audiences,,,\Textures\Challenges\c_disruption.png,\Textures\Backs\back_c_big.png,12
Barriers_Back,Back,Back,Barriers,,,\Textures\Challenges\c_dynamic_places.png,\Textures\Backs\back_c_big.png,0
Barriers_Socially_Isolated,Socially_Isolated,Socially_Isolated,Barriers,,,\Textures\Challenges\c_dynamic_places.png,\Textures\Backs\back_c_big.png,1
Barriers_Restrictive_Opening_Hours,Restrictive_Opening_Hours,Restrictive_Opening_Hours,Barriers,,,\Textures\Challenges\c_feature_creep.png,\Textures\Backs\back_c_big.png,0
Barriers_Poverty,Poverty,Poverty,Barriers,,,\Textures\Challenges\c_feature_creep.png,\Textures\Backs\back_c_big.png,0
Barriers_Overlooked_Groups,Overlooked_Groups,Overlooked_Groups,Barriers,,,\Textures\Challenges\c_getting_lost.png,\Textures\Backs\back_c_big.png,3
Barriers_No_Fixed_Abode,No_Fixed_Abode,No_Fixed_Abode,Barriers,,,\Textures\Challenges\c_getting_lost.png,\Textures\Backs\back_c_big.png,0
Barriers_Low_Self_Esteem,Low_Self_Esteem,Low_Self_Esteem,Barriers,,,\Textures\Challenges\c_gimmicky_tech.png,\Textures\Backs\back_c_big.png,1
Barriers_Poor_Signage,Poor_Signage,Poor_Signage,Barriers,,,\Textures\Challenges\c_gimmicky_tech.png,\Textures\Backs\back_c_big.png,0
Barriers_Lack_of_Access_to_Technology,Lack_of_Access_to_Technology,Lack_of_Access_to_Technology,Barriers,,,\Textures\Challenges\c_inaccurate_sensors.png,\Textures\Backs\back_c_big.png,0
Barriers_Irrelevant,Irrelevant,Irrelevant,Barriers,,,\Textures\Challenges\c_inaccurate_sensors.png,\Textures\Backs\back_c_big.png,6
Barriers_High_Cost,High_Cost,High_Cost,Barriers,,,\Textures\Challenges\c_long_distances.png,\Textures\Backs\back_c_big.png,2
Barriers_Hidden,Hidden,Hidden,Barriers,,,\Textures\Challenges\c_long_distances.png,\Textures\Backs\back_c_big.png,4
Barriers_Educationally_Disadvantaged,Educationally_Disadvantaged,Educationally_Disadvantaged,Barriers,,,\Textures\Challenges\c_noise.png,\Textures\Backs\back_c_big.png,3
Barriers_Discrimination,Discrimination,Discrimination,Barriers,,,\Textures\Challenges\c_noise.png,\Textures\Backs\back_c_big.png,0
Barriers_Accessibility,Accessibility,Accessibility,Barriers,,,\Textures\Challenges\c_overcrowding.png,\Textures\Backs\back_c_big.png,0
Beyond_Back,Back,Back,Beyond,,,\Textures\Challenges\c_overcrowding.png,\Textures\Backs\back_c_big.png,0
Beyond_Evaluation,Evaluation,Evaluation,Beyond,,,\Textures\Challenges\c_phone_zombies.png,\Textures\Backs\back_c_big.png,0
Beyond_Their_Content,Their_Content,Their_Content,Beyond,,,\Textures\Challenges\c_phone_zombies.png,\Textures\Backs\back_c_big.png,0
Beyond_Support,Support,Support,Beyond,,,\Textures\Challenges\c_rain_and_snow.png,\Textures\Backs\back_c_big.png,0
Beyond_Social_Network,Social_Network,Social_Network,Beyond,,,\Textures\Challenges\c_rain_and_snow.png,\Textures\Backs\back_c_big.png,0
Beyond_Shelf_Life,Shelf_Life,Shelf_Life,Beyond,,,\Textures\Challenges\c_real_world_rules.png,\Textures\Backs\back_c_big.png,0
Beyond_Scalability,Scalability,Scalability,Beyond,,,\Textures\Challenges\c_real_world_rules.png,\Textures\Backs\back_c_big.png,0
Beyond_Responsibility,Responsibility,Responsibility,Beyond,,,\Textures\Challenges\c_relocation.png,\Textures\Backs\back_c_big.png,0
Beyond_Replicability,Replicability,Replicability,Beyond,,,\Textures\Challenges\c_relocation.png,\Textures\Backs\back_c_big.png,0
Beyond_Replay,Replay,Replay,Beyond,,,\Textures\Challenges\c_sunshine.png,\Textures\Backs\back_c_big.png,0
Beyond_Relocation,Relocation,Relocation,Beyond,,,\Textures\Challenges\c_sunshine.png,\Textures\Backs\back_c_big.png,0
Beyond_Reliance,Reliance,Reliance,Beyond,,,\Textures\Challenges\c_testing.png,\Textures\Backs\back_c_big.png,0
Beyond_My_Data,My_Data,My_Data,Beyond,,,\Textures\Challenges\c_testing.png,\Textures\Backs\back_c_big.png,0
Beyond_My_Content,My_Content,My_Content,Beyond,,,\Textures\Challenges\c_unclear_instructions.png,\Textures\Backs\back_c_big.png,0
Beyond_Moderation,Moderation,Moderation,Beyond,,,\Textures\Challenges\c_unclear_instructions.png,\Textures\Backs\back_c_big.png,0
Beyond_Maintenance,Maintenance,Maintenance,Beyond,,,\Textures\Challenges\c_unengaging_ar.png,\Textures\Backs\back_c_big.png,0
Beyond_Infinite_Archive,Infinite_Archive,Infinite_Archive,Beyond,,,\Textures\Challenges\c_unengaging_ar.png,\Textures\Backs\back_c_big.png,0
