ID,Label,Name,Category,Type,Text,Front Image,Back Image,Use Count
Assets_Blank,Blank,Blank,Assets,,,\VisitorBox Cards\cards-21_04_2020_001.png,\VisitorBox Cards\assets_back.png,0
Assets_Digital_Resource,Digital_Resource,Digital_Resource,Assets,,,\VisitorBox Cards\cards-21_04_2020_003.png,\VisitorBox Cards\assets_back.png,4
Assets_Exhibits,Exhibits,Exhibits,Assets,,,\VisitorBox Cards\cards-21_04_2020_005.png,\VisitorBox Cards\assets_back.png,1
Assets_Fame,Fame,Fame,Assets,,,\VisitorBox Cards\cards-21_04_2020_007.png,\VisitorBox Cards\assets_back.png,0
Assets_Guides,Guides,Guides,Assets,,,\VisitorBox Cards\cards-21_04_2020_009.png,\VisitorBox Cards\assets_back.png,1
Assets_Learning_Activity,Learning_Activity,Learning_Activity,Assets,,,\VisitorBox Cards\cards-21_04_2020_011.png,\VisitorBox Cards\assets_back.png,3
Assets_Location,Location,Location,Assets,,,\VisitorBox Cards\cards-21_04_2020_013.png,\VisitorBox Cards\assets_back.png,2
Assets_Outreach_Activity,Outreach_Activity,Outreach_Activity,Assets,,,\VisitorBox Cards\cards-21_04_2020_015.png,\VisitorBox Cards\assets_back.png,2
Assets_Retail,Retail,Retail,Assets,,,\VisitorBox Cards\cards-21_04_2020_017.png,\VisitorBox Cards\assets_back.png,0
Audiences_Blank,Blank,Blank,Audiences,,,\VisitorBox Cards\cards-21_04_2020_019.png,\VisitorBox Cards\audiences_back.png,12
Audiences_Blank,Blank,Blank,Audiences,,,\VisitorBox Cards\cards-21_04_2020_021.png,\VisitorBox Cards\audiences_back.png,12
Audiences_Blank,Blank,Blank,Audiences,,,\VisitorBox Cards\cards-21_04_2020_023.png,\VisitorBox Cards\audiences_back.png,12
Audiences_Blank,Blank,Blank,Audiences,,,\VisitorBox Cards\cards-21_04_2020_025.png,\VisitorBox Cards\audiences_back.png,12
Barriers_Accessibility,Accessibility,Accessibility,Barriers,,,\VisitorBox Cards\cards-21_04_2020_027.png,\VisitorBox Cards\barriers_back.png,0
Barriers_Discrimination,Discrimination,Discrimination,Barriers,,,\VisitorBox Cards\cards-21_04_2020_029.png,\VisitorBox Cards\barriers_back.png,0
Barriers_High_Cost,High_Cost,High_Cost,Barriers,,,\VisitorBox Cards\cards-21_04_2020_031.png,\VisitorBox Cards\barriers_back.png,2
Barriers_Irrelevant,Irrelevant,Irrelevant,Barriers,,,\VisitorBox Cards\cards-21_04_2020_033.png,\VisitorBox Cards\barriers_back.png,6
Barriers_Overlooked_Groups,Overlooked_Groups,Overlooked_Groups,Barriers,,,\VisitorBox Cards\cards-21_04_2020_035.png,\VisitorBox Cards\barriers_back.png,3
Barriers_Poor_Signage,Poor_Signage,Poor_Signage,Barriers,,,\VisitorBox Cards\cards-21_04_2020_037.png,\VisitorBox Cards\barriers_back.png,0
Barriers_Restrictive_Opening_Hours,Restrictive_Opening_Hours,Restrictive_Opening_Hours,Barriers,,,\VisitorBox Cards\cards-21_04_2020_039.png,\VisitorBox Cards\barriers_back.png,0
Barriers_Educationally_Disadvantaged,Educationally_Disadvantaged,Educationally_Disadvantaged,Barriers,,,\VisitorBox Cards\cards-21_04_2020_041.png,\VisitorBox Cards\barriers_back.png,3
Barriers_Hidden,Hidden,Hidden,Barriers,,,\VisitorBox Cards\cards-21_04_2020_043.png,\VisitorBox Cards\barriers_back.png,4
Barriers_Lack_of_Access_to_Technology,Lack_of_Access_to_Technology,Lack_of_Access_to_Technology,Barriers,,,\VisitorBox Cards\cards-21_04_2020_045.png,\VisitorBox Cards\barriers_back.png,0
Barriers_Low_Self_Esteem,Low_Self_Esteem,Low_Self_Esteem,Barriers,,,\VisitorBox Cards\cards-21_04_2020_047.png,\VisitorBox Cards\barriers_back.png,1
Barriers_No_Fixed_Abode,No_Fixed_Abode,No_Fixed_Abode,Barriers,,,\VisitorBox Cards\cards-21_04_2020_049.png,\VisitorBox Cards\barriers_back.png,0
Barriers_Poverty,Poverty,Poverty,Barriers,,,\VisitorBox Cards\cards-21_04_2020_051.png,\VisitorBox Cards\barriers_back.png,0
Barriers_Socially_Isolated,Socially_Isolated,Socially_Isolated,Barriers,,,\VisitorBox Cards\cards-21_04_2020_053.png,\VisitorBox Cards\barriers_back.png,1
Capabilities_3D_Modelling,3D_Modelling,3D_Modelling,Capabilities,,,\VisitorBox Cards\cards-21_04_2020_055.png,\VisitorBox Cards\capabilities_back.png,0
Capabilities_Computer_Gaming,Computer_Gaming,Computer_Gaming,Capabilities,,,\VisitorBox Cards\cards-21_04_2020_057.png,\VisitorBox Cards\capabilities_back.png,2
Capabilities_Computer_Software,Computer_Software,Computer_Software,Capabilities,,,\VisitorBox Cards\cards-21_04_2020_059.png,\VisitorBox Cards\capabilities_back.png,0
Capabilities_Digitisation,Digitisation,Digitisation,Capabilities,,,\VisitorBox Cards\cards-21_04_2020_061.png,\VisitorBox Cards\capabilities_back.png,1
Capabilities_Media_Creation,Media_Creation,Media_Creation,Capabilities,,,\VisitorBox Cards\cards-21_04_2020_063.png,\VisitorBox Cards\capabilities_back.png,4
Capabilities_Mixed_Reality,Mixed_Reality,Mixed_Reality,Capabilities,,,\VisitorBox Cards\cards-21_04_2020_065.png,\VisitorBox Cards\capabilities_back.png,2
Capabilities_Mobile_Apps,Mobile_Apps,Mobile_Apps,Capabilities,,,\VisitorBox Cards\cards-21_04_2020_067.png,\VisitorBox Cards\capabilities_back.png,8
Capabilities_Social_Media_Networks,Social_Media_Networks,Social_Media_Networks,Capabilities,,,\VisitorBox Cards\cards-21_04_2020_069.png,\VisitorBox Cards\capabilities_back.png,7
Capabilities_Web_Design,Web_Design,Web_Design,Capabilities,,,\VisitorBox Cards\cards-21_04_2020_071.png,\VisitorBox Cards\capabilities_back.png,0
Capabilities_Websites,Websites,Websites,Capabilities,,,\VisitorBox Cards\cards-21_04_2020_073.png,\VisitorBox Cards\capabilities_back.png,6
Devices_3D_Printer,3D_Printer,3D_Printer,Devices,,,\VisitorBox Cards\cards-21_04_2020_075.png,\VisitorBox Cards\devices_back.png,0
Devices_Augmented_Reality_Headset,Augmented_Reality_Headset,Augmented_Reality_Headset,Devices,,,\VisitorBox Cards\cards-21_04_2020_077.png,\VisitorBox Cards\devices_back.png,0
Devices_Camera,Camera,Camera,Devices,,,\VisitorBox Cards\cards-21_04_2020_079.png,\VisitorBox Cards\devices_back.png,4
Devices_Computer,Computer,Computer,Devices,,,\VisitorBox Cards\cards-21_04_2020_081.png,\VisitorBox Cards\devices_back.png,8
Devices_Dumb_Phone,Dumb_Phone,Dumb_Phone,Devices,,,\VisitorBox Cards\cards-21_04_2020_083.png,\VisitorBox Cards\devices_back.png,0
Devices_Gaming_Console,Gaming_Console,Gaming_Console,Devices,,,\VisitorBox Cards\cards-21_04_2020_085.png,\VisitorBox Cards\devices_back.png,4
Devices_Health_Tracker,Health_Tracker,Health_Tracker,Devices,,,\VisitorBox Cards\cards-21_04_2020_087.png,\VisitorBox Cards\devices_back.png,0
